date	type	location	count	response
2010-04-01	Non Medical Emergencies	The Bronx	3112	299
2010-04-01	Non Medical Emergencies	Staten Island	995	300
2010-04-01	Non Medical Emergencies	Brooklyn	4131	259
2010-04-01	Non Medical Emergencies	Queens	2675	303
2010-04-01	False Alarm	Citywide	2089	255
2010-04-01	False Alarm	Manhattan	370	266
2010-04-01	False Alarm	The Bronx	644	266
2010-04-01	False Alarm	Staten Island	178	255
2010-04-01	False Alarm	Brooklyn	402	223
2010-04-01	False Alarm	Queens	495	257
2010-04-01	Medical False Alarm	Citywide	383	251
2010-04-01	Medical False Alarm	Manhattan	91	257
2010-04-01	Medical False Alarm	The Bronx	75	252
2010-04-01	Medical False Alarm	Staten Island	14	273
2010-04-01	Medical False Alarm	Brooklyn	122	233
2010-04-01	Medical False Alarm	Queens	81	265
2010-04-01	All Fire/Emergency Incidents	Citywide	38465	268
2010-04-01	All Fire/Emergency Incidents	Manhattan	10083	277
2010-04-01	All Fire/Emergency Incidents	The Bronx	7711	277
2010-04-01	All Fire/Emergency Incidents	Staten Island	2325	285
2010-04-01	All Fire/Emergency Incidents	Brooklyn	10702	241
2010-04-01	All Fire/Emergency Incidents	Queens	7644	280
2010-05-01	Structural Fires	Citywide	2121	239
2010-05-01	Structural Fires	Manhattan	529	247
2010-05-01	Structural Fires	The Bronx	437	247
2010-05-01	Structural Fires	Staten Island	101	274
2010-05-01	Structural Fires	Brooklyn	703	213
2010-05-01	Structural Fires	Queens	351	261
2010-05-01	Non Structural Fires	Citywide	1538	258
2010-05-01	Non Structural Fires	Manhattan	373	252
2010-05-01	Non Structural Fires	The Bronx	267	280
2010-05-01	Non Structural Fires	Staten Island	80	273
2010-05-01	Non Structural Fires	Brooklyn	489	229
2010-05-01	Non Structural Fires	Queens	329	286
2010-05-01	Medical Emergencies	Citywide	19278	255
2010-05-01	Medical Emergencies	Manhattan	5086	259
2010-05-01	Medical Emergencies	The Bronx	3617	264
2010-05-01	Medical Emergencies	Staten Island	916	282
2010-05-01	Medical Emergencies	Brooklyn	5549	234
2010-05-01	Medical Emergencies	Queens	4110	268
2010-05-01	Non Medical Emergencies	Citywide	17866	293
2010-05-01	Non Medical Emergencies	Manhattan	4847	292
2010-05-01	Non Medical Emergencies	The Bronx	3580	307
2010-05-01	Non Medical Emergencies	Staten Island	1074	304
2010-05-01	Non Medical Emergencies	Brooklyn	4711	262
2010-05-01	Non Medical Emergencies	Queens	3654	316
2010-05-01	False Alarm	Citywide	2614	259
2010-05-01	False Alarm	Manhattan	424	260
2010-05-01	False Alarm	The Bronx	740	272
2010-05-01	False Alarm	Staten Island	223	259
2010-05-01	False Alarm	Brooklyn	475	233
